,label_name
../music/ARASHI/image_data/ARASHI - Endless Game [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - Find The Answer [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Turning Up (R3HAB Remix) [Official Music Video]_02.png,ARASHI
../music/ARASHI/image_data/ARASHI - We can make it ! [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - PIKA☆☆NCHI DOUBLE [Official Music Video]_05.png,ARASHI
../music/ARASHI/image_data/ARASHI - Believe [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Happiness [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - I'll be there [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Sakura [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - カイト [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - truth [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - BRAVE [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Whenever You Call [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - つなぐ [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - I seek [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - a Day in Our Life [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Breathless [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - GUTS ! [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Step and Go [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 青空の下、キミのとなり [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - 君のために僕がいる [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - 台風ジェネレーション ‐Typhoon Generation‐ [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - きっと大丈夫 [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - ナイスな心意気 [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - 感謝カンゲキ雨嵐 [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 瞳の中のGalaxy [Official Music Video]_05.png,ARASHI
